2021-10-27 13:30:54,678 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 13:30:54,762 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52724
2021-10-27 13:30:55,396 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 13:30:55,396 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 13:31:00,465 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [27/Oct/2021 13:31:00] "GET / HTTP/1.1" 200 -
2021-10-27 13:31:00,465 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [27/Oct/2021 13:31:00] "GET / HTTP/1.1" 200 -
2021-10-27 13:31:05,628 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [27/Oct/2021 13:31:05] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-27 13:31:05,628 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [27/Oct/2021 13:31:05] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-27 13:31:26,035 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [27/Oct/2021 13:31:26] "GET /log HTTP/1.1" 200 -
2021-10-27 13:31:26,035 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [27/Oct/2021 13:31:26] "GET /log HTTP/1.1" 200 -
2021-10-27 13:31:30,962 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [27/Oct/2021 13:31:30] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-27 13:31:30,962 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [27/Oct/2021 13:31:30] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-27 18:31:54,683 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 18:31:54,810 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 53068
2021-10-27 18:31:55,076 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 18:31:55,076 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
